Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1145712
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,12319536
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,3844960
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,82771456
07/20/2026 23:16:37,System.Runtime,dotnet.process.memory.working_set (By),Metric,2426318848
07/20/2026 23:16:37,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,4
07/20/2026 23:16:37,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,4424
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,256
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,1224744
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,9051368
07/20/2026 23:16:37,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,107573248
07/20/2026 23:16:37,System.Runtime,dotnet.assembly.count ({assembly}),Metric,112
07/20/2026 23:16:37,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:16:37,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32760
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1145712
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,12319536
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,3844960
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,82771456
07/20/2026 23:16:38,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,114
07/20/2026 23:16:38,System.Runtime,dotnet.process.memory.working_set (By),Metric,2426626048
07/20/2026 23:16:38,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,10824
07/20/2026 23:16:38,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,4
07/20/2026 23:16:38,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.125
07/20/2026 23:16:38,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,13.234375
07/20/2026 23:16:38,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/20/2026 23:16:38,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,4424
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,256
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,1224744
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,9051368
07/20/2026 23:16:38,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,107573248
07/20/2026 23:16:38,System.Runtime,dotnet.assembly.count ({assembly}),Metric,112
07/20/2026 23:16:38,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.04931440000000009
07/20/2026 23:16:38,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 23:16:38,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:16:38,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:16:38,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,5
07/20/2026 23:16:39,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,32544
07/20/2026 23:16:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/20/2026 23:16:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1145712
07/20/2026 23:16:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,12319536
07/20/2026 23:16:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,3844960
