Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,5178888
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,224
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,27088
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,40161280
07/20/2026 23:13:13,System.Runtime,dotnet.process.memory.working_set (By),Metric,327192576
07/20/2026 23:13:13,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,4
07/20/2026 23:13:13,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:13:13,System.Runtime,dotnet.assembly.count ({assembly}),Metric,112
07/20/2026 23:13:13,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,25165624
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3181256
07/20/2026 23:13:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,3285672
07/20/2026 23:13:13,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:13:14,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.06739830000000069
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,5178888
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,224
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,27088
07/20/2026 23:13:14,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 23:13:14,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,6
07/20/2026 23:13:14,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,40161280
07/20/2026 23:13:14,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,15604
07/20/2026 23:13:14,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.125
07/20/2026 23:13:14,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,12.828125
07/20/2026 23:13:14,System.Runtime,dotnet.process.memory.working_set (By),Metric,327692288
07/20/2026 23:13:14,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,4
07/20/2026 23:13:14,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:13:14,System.Runtime,dotnet.assembly.count ({assembly}),Metric,112
07/20/2026 23:13:14,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:13:14,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 23:13:14,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
