Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5586944
07/20/2026 22:47:29,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,9
07/20/2026 22:47:29,System.Runtime,dotnet.assembly.count ({assembly}),Metric,108
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,61608
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,1430792
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,168512
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,1225160
07/20/2026 22:47:29,LXRGC.Bench,operations (Count / 1 sec),Rate,260
07/20/2026 22:47:29,System.Runtime,dotnet.timer.count ({timer}),Metric,9
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,1430560
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2136
07/20/2026 22:47:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 22:47:29,System.Runtime,dotnet.process.memory.working_set (By),Metric,73121792
07/20/2026 22:47:29,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 22:47:29,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 22:47:30,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,5586944
07/20/2026 22:47:30,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,9
07/20/2026 22:47:30,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,89471
07/20/2026 22:47:30,System.Runtime,dotnet.assembly.count ({assembly}),Metric,109
07/20/2026 22:47:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,61608
07/20/2026 22:47:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,1430792
07/20/2026 22:47:30,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
